mission,event,met_time,value,unit,description,source_doc,source_section,confidence
Apollo 13,First transearth midcourse correction,105:18:28,7.8,ft/sec,"DPS burn at 10% throttle, ~14 sec duration; raised entry flight-path angle to -6.52 deg",Apollo 13 Mission Report (MSC-02680),Sec 4.0 / 6.6,CONFIRMED-PRIMARY
Apollo 13,Fourth (final) midcourse correction,137:39:51.5,,,"LM RCS burn ~5 hr before entry, small flight-path-angle adjustment",Apollo 13 Mission Report (MSC-02680),Sec 4.0 / Table 4-III,CONFIRMED-PRIMARY
Apollo 13,Service module separation,~138:00 (4hr45min before entry),,,"SM jettisoned using LM RCS",Apollo 13 Mission Report (MSC-02680),Sec 3.0,CONFIRMED-PRIMARY
Apollo 13,LM/CM undocking,~141:43 (70 min before entry),,,Undocking via docking-tunnel pressure for separation velocity,Apollo 13 Mission Report (MSC-02680),Sec 3.0,CONFIRMED-PRIMARY
Apollo 13,Entry interface & splashdown,142:54:41,,,"Landing ~1 mile from target, 21 deg 38.4 min S / 165 deg 21.7 min W, Pacific Ocean",Apollo 13 Mission Report (MSC-02680),Sec 3.0,CONFIRMED-PRIMARY
Apollo 13,SPS propellant (only used for 1st midcourse),,"loaded 15685 fuel/40769 ox; consumed 92.3 fuel/239.3 ox",lb,"SPS fired only once (first midcourse, 3.49 sec) - by far the smallest SPS usage of any Apollo mission",Apollo 13 Mission Report (MSC-02680),Sec 7.1.1,CONFIRMED-PRIMARY
Apollo 13,SM RCS propellant total consumption,,286,lb,"vs. 178 lb preflight planned; higher due to venting-induced thruster activity after the incident",Apollo 13 Mission Report (MSC-02680),Sec 5.7.1 / 7.1.2,CONFIRMED-PRIMARY
Apollo 13,LM RCS propellant total consumption,,467,lb,Total reaction control propellant consumed by LM RCS system after activation at ~58 hr,Apollo 13 Mission Report (MSC-02680),Sec 6.5,CONFIRMED-PRIMARY
Apollo 13,LM Descent Propulsion System (DPS) propellant,,"loaded 11350.9 fuel/18434.5 ox = 29785.4 total; consumed ~5071.4 fuel/8342.9 ox = ~13414.3 total; remaining at undocking 6233.5 fuel/10091.6 ox = 16325.1 total",lb,"DPS used for all 3 major post-abort burns (return-to-free-return, TEI/PC+2, first transearth MCC); more than half the initial propellant load remained at undocking - confirms LM had ample propulsive margin for the rescue",Apollo 13 Mission Report (MSC-02680),Sec 6.6 / 7.2.1,CONFIRMED-PRIMARY
Apollo 13,LM electrical energy transferred to CM (for entry batteries),,~129,ampere-hours,Energy transferred from LM batteries to recharge CM entry batteries during the return,Apollo 13 Mission Report (MSC-02680),Sec 7.2.5,CONFIRMED-PRIMARY
Apollo 13,LM oxygen usage (abort phase),,20.3,lb over 82 hr,Average usage rate 0.25 lb/hr; 33.5 lb remaining at undocking,Apollo 13 Mission Report (MSC-02680),Sec 6.7,CONFIRMED-PRIMARY
